district,target,addr,date,target_number,floor,total_floor,building_state,main_use,complete_years,building_size,pattern_room,pattern_hall,pattern_health,manages,total_price,unit_price,parking_type,parking_size,parking_price
信義區,房地(土地+建物),臺北市信義區和平東路三段５０９巷２７號三樓,1100426,土地5建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,,80,3,1,1,無,5200000,65000,,0,0
松山區,房地(土地+建物),臺北市松山區撫遠街３８９巷１６號三樓,1100618,土地2建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,620827,77.6,3,2,1,無,14600000,188144,,0,0
文山區,房地(土地+建物),臺北市文山區木新路三段５０巷３號四樓,1100502,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,,69.8,2,1,1,無,10400000,148997,,0,0
北投區,房地(土地+建物),臺北市北投區中和街２０巷６８號四樓,1100503,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,560331,79.32,3,2,1,無,8200000,103379,,0,0
文山區,房地(土地+建物),臺北市文山區興隆路一段１２５巷１之４號四樓,1100518,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,,95.56,3,2,2,無,11500000,120343,,0,0
大安區,房地(土地+建物),臺北市大安區永康街２３巷４０之１號四樓,1100510,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,630118,107.43,3,2,2,無,24000000,223401,,0,0
文山區,房地(土地+建物),臺北市文山區景福街１８１號四樓,1100423,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,580412,107.6,6,2,5,無,16000000,148699,,0,0
文山區,房地(土地+建物),臺北市文山區興隆路一段７０巷１１弄１４之１號四樓,1100603,土地2建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,,62.29,3,2,1,無,8100000,130037,,0,0
大安區,房地(土地+建物),臺北市大安區瑞安街２０８巷１４弄９號四樓,1100508,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,581101,123.09,5,2,2,無,30500000,247786,,0,0
內湖區,房地(土地+建物),臺北市內湖區康寧路一段１５６巷７弄７號四樓,1100619,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,690128,73.7,3,2,1,無,8000000,108548,,0,0
士林區,房地(土地+建物),臺北市士林區中社路二段１７巷３１號四樓,1100605,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,650406,69.66,2,2,1,無,7300000,104795,,0,0
信義區,房地(土地+建物),臺北市信義區松山路２０７巷４弄５號四樓,1100517,土地4建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,,103.71,3,2,1,無,15800000,152348,,0,0
中正區,房地(土地+建物),臺北市中正區重慶南路三段３６巷１５號四樓,1100426,土地3建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,,93.98,2,2,1,無,16800000,178761,,0,0
北投區,房地(土地+建物),臺北市北投區裕民六路１１４巷３９之１號四樓,1100522,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,651129,55.89,2,2,1,無,10500000,187869,,0,0
中山區,房地(土地+建物),臺北市中山區農安街２８之１號七樓之２,1100520,土地1建物1車位0,七層,十一層,住宅大樓(11層含以上有電梯),住商用,690821,30.64,1,1,1,有,6500000,212141,,0,0
中山區,房地(土地+建物),臺北市中山區中山北路二段７７巷４７號七樓,1100512,土地1建物2車位0,七層,十二層,住宅大樓(11層含以上有電梯),住商用,661109,256.78,4,1,2,有,43000000,167459,,0,0
中山區,房地(土地+建物)+車位,臺北市中山區敬業一路１５８號,1100512,土地1建物1車位2,一層,七層,華廈(10層含以下有電梯),商業用,931028,357.18,0,0,0,有,130880000,366426,坡道機械,0,0
士林區,房地(土地+建物)+車位,臺北市士林區天母北路２８巷１３號,1100519,土地1建物1車位1,一層,七層,華廈(10層含以下有電梯),商業用,730501,240.49,2,3,2,無,37600000,156347,坡道平面,28.41,0
萬華區,房地(土地+建物),臺北市萬華區西寧南路１５號六樓之１,1100613,土地1建物1車位0,六層,九層,華廈(10層含以下有電梯),商業用,831119,79.28,1,1,1,無,13660000,172301,,0,0
文山區,房地(土地+建物),臺北市文山區忠順街二段１００號二樓,1100518,土地1建物1車位0,二層,八層,華廈(10層含以下有電梯),商業用,850914,110.33,4,2,2,有,15880000,143932,,0,0
中山區,房地(土地+建物),臺北市中山區龍江路２８８號八樓之５,1100528,土地1建物1車位0,八層,八層,華廈(10層含以下有電梯),商業用,890302,46.49,1,1,1,有,10100000,217251,,0,0
中山區,房地(土地+建物),臺北市中山區中山北路二段１２８巷６弄５號三樓之１、５號三樓之２,1100618,土地1建物1車位0,三層,八層,華廈(10層含以下有電梯),商業用,660415,58.15,1,1,1,有,10700000,184007,,0,0
中山區,房地(土地+建物),臺北市中山區林森北路３１０巷４０號四樓之５,1100503,土地1建物1車位0,四層,八層,華廈(10層含以下有電梯),商業用,741004,78.29,2,1,1,有,10320000,131818,,0,0
北投區,房地(土地+建物)+車位,臺北市北投區振興街１號四樓之１,1100519,土地1建物1車位1,四層,八層,華廈(10層含以下有電梯),商業用,860203,125.39,2,2,1,有,20840000,166201,坡道平面,0,2500000
大同區,房地(土地+建物),臺北市大同區延平北路一段５１號七樓之３５,1100122,土地1建物1車位0,七層,十一層,住宅大樓(11層含以上有電梯),商業用,700223,22.39,1,1,1,有,3300000,147387,,0,0
中山區,建物,臺北市中山區龍江路１２０巷９號七樓,1100513,土地0建物1車位0,七層,十一層,住宅大樓(11層含以上有電梯),商業用,880524,51.3,1,1,1,有,6000000,116959,,0,0
大安區,房地(土地+建物),臺北市大安區信義路四段１８１號十一樓之４,1100426,土地2建物1車位0,十一層,十一層,住宅大樓(11層含以上有電梯),商業用,731003,110.46,3,2,2,有,31000000,280645,,0,0
萬華區,房地(土地+建物),臺北市萬華區長沙街二段１１２號六樓,1100529,土地1建物1車位0,六層,十一層,住宅大樓(11層含以上有電梯),商業用,771129,154.07,4,2,2,無,25000000,162264,,0,0
北投區,房地(土地+建物)+車位,臺北市北投區文林北路２４４巷６號,1100605,土地2建物1車位1,一層,十二層,住宅大樓(11層含以上有電梯),商業用,880112,137.21,3,2,2,有,24500000,178558,升降平面,0,0
中山區,房地(土地+建物),臺北市中山區復興南路一段４２號二樓之１,1100425,土地1建物1車位0,二層,十二層,住宅大樓(11層含以上有電梯),商業用,701008,112.21,3,2,2,有,26500000,236164,,0,0
內湖區,房地(土地+建物),臺北市內湖區民權東路六段３２２號二樓,1100208,土地1建物1車位0,二層,十二層,住宅大樓(11層含以上有電梯),商業用,751106,240.56,5,3,3,有,35000000,145494,,0,0
中山區,房地(土地+建物),臺北市中山區林森北路２６３號十一樓之１６,1100426,土地2建物1車位0,十一層,十二層,住宅大樓(11層含以上有電梯),商業用,710707,72.27,2,2,1,有,11000000,152207,,0,0
中山區,房地(土地+建物),臺北市中山區新生北路三段２１號十樓之３,1100607,土地3建物1車位0,十層,十二層,住宅大樓(11層含以上有電梯),商業用,950209,46.06,2,2,1,有,13980000,303517,,0,0
大安區,房地(土地+建物),臺北市大安區和平東路三段６３號五樓之７,1100508,土地1建物1車位0,五層,十二層,住宅大樓(11層含以上有電梯),商業用,681020,54.05,1,2,1,有,14300000,264570,,0,0
中山區,房地(土地+建物),臺北市中山區新生北路三段５８號五樓之４,1100525,土地1建物1車位0,五層,十二層,住宅大樓(11層含以上有電梯),商業用,711209,32.31,1,1,1,有,5300000,164036,,0,0
中正區,房地(土地+建物),臺北市中正區羅斯福路二段５６號九樓之７,1100529,土地3建物1車位0,九層,十五層,住宅大樓(11層含以上有電梯),商業用,911125,34.75,1,1,1,有,12220000,351655,,0,0
北投區,房地(土地+建物)+車位,臺北市北投區清江路２５巷７之１號,1100628,土地1建物1車位1,一層,十四層,住宅大樓(11層含以上有電梯),商業用,910207,138.84,2,2,1,有,20600000,148372,坡道平面,0,0
中山區,房地(土地+建物),臺北市中山區建國北路二段１４７號七樓之２,1100525,土地1建物1車位0,七層,十四層,住宅大樓(11層含以上有電梯),商業用,710702,80.1,0,1,0,有,14530000,181398,,0,0
文山區,房地(土地+建物)+車位,臺北市文山區秀明路二段１１８巷１號九樓,1100521,土地1建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),商業用,900802,201.9,4,2,2,有,32500000,160971,坡道平面,42.08,0
中正區,房地(土地+建物),臺北市中正區忠孝東路二段１１２號九樓,1100610,土地1建物1車位0,九層,十層,華廈(10層含以下有電梯),商業用,781019,133.38,2,1,1,有,35508000,266217,,0,0
內湖區,房地(土地+建物),臺北市內湖區內湖路二段４６２之１號二樓,1100517,土地1建物1車位0,二層,十層,華廈(10層含以下有電梯),商業用,780807,127.03,3,2,2,有,23500000,184996,,0,0
萬華區,房地(土地+建物),臺北市萬華區昆明街１２６號八樓,1100603,土地1建物1車位0,八層,十層,華廈(10層含以下有電梯),商業用,850307,127.04,2,2,2,無,22330000,175771,,0,0
信義區,房地(土地+建物)+車位,臺北市信義區松隆路１２５號六樓之９,1100501,土地1建物1車位1,六層,十層,華廈(10層含以下有電梯),商業用,850925,91.64,1,1,1,有,13860000,223842,坡道平面,40.89,2500000
士林區,房地(土地+建物),臺北市士林區社正路４８號,1100513,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),商業用,770203,173.72,5,2,2,無,41000000,236012,,0,0
萬華區,房地(土地+建物),臺北市萬華區環河南路二段２５０巷５號,1100618,土地2建物1車位0,一層,五層,公寓(5樓含以下無電梯),商業用,661222,43.21,0,0,0,無,2200000,50914,,0,0
萬華區,房地(土地+建物),臺北市萬華區環河南路二段２５０巷３弄１號,1100618,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),商業用,700612,93.22,3,1,1,無,6000000,64364,,0,0
信義區,房地(土地+建物),臺北市信義區永吉路５２３號,1100512,土地3建物1車位0,一層,五層,公寓(5樓含以下無電梯),商業用,740514,158.44,0,0,0,無,48000000,302954,,0,0
萬華區,房地(土地+建物),臺北市萬華區桂林路４１號二樓,1100625,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),商業用,670616,81.47,0,0,0,無,11000000,135019,,0,0
內湖區,房地(土地+建物),臺北市內湖區內湖路二段４０９號四樓,1100603,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),商業用,681231,91.18,3,2,1,無,14000000,153542,,0,0
大安區,房地(土地+建物),臺北市大安區杭州南路二段２５巷１５號四樓,1100508,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),商業用,700625,100.26,3,2,2,無,28300000,282266,,0,0
大安區,房地(土地+建物),臺北市大安區信義路四段６０之１６２號二樓,1100515,土地2建物1車位0,二層,六層,公寓(5樓含以下無電梯),商業用,600301,22.54,1,1,1,有,5900000,261757,,0,0
北投區,房地(土地+建物),臺北市北投區磺港路１８４號,1100422,土地2建物1車位0,一層,四層,公寓(5樓含以下無電梯),商業用,700314,101.22,4,1,2,無,5188000,51255,,0,0
信義區,房地(土地+建物),臺北市信義區中坡南路１３２號二樓之１,1091222,土地3建物1車位0,二層,四層,公寓(5樓含以下無電梯),商業用,680223,65.42,0,0,0,無,13000000,198716,,0,0
中山區,房地(土地+建物),臺北市中山區長安東路一段４０號三樓之３,1080515,土地1建物1車位0,三層,十層,華廈(10層含以下有電梯),第二組多戶住宅,1100205,45.85,0,0,0,有,9940000,216794,,0,0
中山區,房地(土地+建物),臺北市中山區長安東路一段４０號三樓之１,1080427,土地1建物1車位0,三層,十層,華廈(10層含以下有電梯),第二組多戶住宅,1100205,44.31,0,0,0,有,9980000,225231,,0,0
中山區,房地(土地+建物)+車位,臺北市中山區長安東路一段４０號四樓之３,1080507,土地1建物1車位1,四層,十層,華廈(10層含以下有電梯),第二組多戶住宅,1100205,57.16,0,0,0,有,11800000,209378,其他,11.31,2200000
內湖區,房地(土地+建物)+車位,臺北市內湖區堤頂大道二段４９７號五樓之９,1100624,土地1建物1車位1,五層,十三層,住宅大樓(11層含以上有電梯),策略性產業（產品展示服務業）,980729,55.17,1,0,1,有,7800000,194489,塔式車位,16.39,257700
南港區,房地(土地+建物)+車位,臺北市南港區南港路二段２８６號三樓,1100607,土地1建物1車位1,三層,七層,華廈(10層含以下有電梯),集合住宅,1091130,129.46,2,1,2,有,25500000,196972,塔式車位,17.53,0
松山區,房地(土地+建物),臺北市松山區健康路１８５巷１５號六樓,1100430,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),集合住宅,810309,112.88,3,2,2,有,26240000,232459,,0,0
南港區,房地(土地+建物)+車位,臺北市南港區南港路二段２８２號六樓,1100520,土地1建物1車位1,六層,七層,華廈(10層含以下有電梯),集合住宅,1091130,104.92,1,1,2,有,20000000,190621,塔式車位,17.53,0
松山區,房地(土地+建物)+車位,臺北市松山區市民大道四段３９號九樓,1100507,土地2建物1車位2,九層,二十三層,住宅大樓(11層含以上有電梯),集合住宅,1090102,412.05,0,0,0,有,197090000,572598,坡道平面,81.12,7600000
松山區,房地(土地+建物)+車位,臺北市松山區市民大道四段３９號八樓,1100507,土地2建物1車位2,八層,二十三層,住宅大樓(11層含以上有電梯),集合住宅,1090102,414.16,0,0,0,有,196750000,566749,坡道平面,81.12,8000000
松山區,房地(土地+建物)+車位,臺北市松山區市民大道四段３９號六樓,1100507,土地2建物1車位2,六層,二十三層,住宅大樓(11層含以上有電梯),集合住宅,1090102,413.76,0,0,0,有,187560000,540404,坡道平面,81.12,7800000
文山區,房地(土地+建物)+車位,臺北市文山區辛亥路四段２０９巷３０號十九樓,1100524,土地1建物1車位1,十九層,二十六層,住宅大樓(11層含以上有電梯),集合住宅,1090430,185.69,4,1,2,有,37710301,203082,坡道平面,0,0
南港區,房地(土地+建物)+車位,臺北市南港區興中路６８巷８號二十二樓,1100421,土地1建物1車位1,二十二層,二十四層,住宅大樓(11層含以上有電梯),集合住宅,1060707,197.27,4,2,2,有,43800000,260371,坡道平面,38.65,2500000
信義區,房地(土地+建物),臺北市信義區忠孝東路五段３７號七樓,1100403,土地2建物1車位0,七層,十二層,住宅大樓(11層含以上有電梯),集合住宅,720406,133.81,3,2,1,有,32400000,242134,,0,0
松山區,房地(土地+建物),臺北市松山區南京東路五段４７號十二樓之３,1100519,土地1建物1車位0,十二層,十二層,住宅大樓(11層含以上有電梯),集合住宅,721213,114.23,2,2,2,有,26000000,227611,,0,0
中正區,房地(土地+建物),臺北市中正區汀州路三段６５號五樓,1100529,土地2建物1車位0,五層,十二層,住宅大樓(11層含以上有電梯),集合住宅,1071122,107.98,0,0,0,有,32000000,296351,,0,0
內湖區,房地(土地+建物),臺北市內湖區南京東路六段７０號七樓,1091210,土地1建物1車位0,七層,十三層,住宅大樓(11層含以上有電梯),集合住宅,1090612,186.44,4,2,2,有,35380000,189766,,0,0
中正區,房地(土地+建物),臺北市中正區南昌路二段１４２之１號九樓之５,1100518,土地2建物1車位0,九層,十三層,住宅大樓(11層含以上有電梯),集合住宅,960906,35.86,1,1,1,有,10470000,291969,,0,0
內湖區,房地(土地+建物),臺北市內湖區南京東路六段７２號二樓,1090924,土地1建物1車位0,二層,十三層,住宅大樓(11層含以上有電梯),集合住宅,1090612,155.7,3,2,2,有,31580000,202826,,0,0
內湖區,房地(土地+建物),臺北市內湖區南京東路六段７６號二樓,1090926,土地1建物1車位0,二層,十三層,住宅大樓(11層含以上有電梯),集合住宅,1090612,155.58,3,2,2,有,28220000,181386,,0,0
內湖區,房地(土地+建物)+車位,臺北市內湖區南京東路六段７０號二樓,1100507,土地1建物1車位1,二層,十三層,住宅大樓(11層含以上有電梯),集合住宅,1090612,221.14,4,2,2,有,37500000,188801,坡道平面,34.7,2300000
內湖區,房地(土地+建物)+車位,臺北市內湖區南京東路六段７０號十一樓,1091209,土地1建物1車位2,十一層,十三層,住宅大樓(11層含以上有電梯),集合住宅,1090612,246.3,4,2,2,有,40480000,197812,坡道平面,59.86,3600000
內湖區,房地(土地+建物)+車位,臺北市內湖區南京東路六段７８號十一樓,1091221,土地1建物1車位1,十一層,十三層,住宅大樓(11層含以上有電梯),集合住宅,1090612,220.57,4,2,2,有,38950000,196643,坡道平面,34.7,2400000
南港區,房地(土地+建物),臺北市南港區重陽路３２６號十二樓,1100605,土地1建物1車位0,十二層,十三層,住宅大樓(11層含以上有電梯),集合住宅,1091119,86.7,2,2,1,有,22880000,263899,,0,0
內湖區,房地(土地+建物)+車位,臺北市內湖區南京東路六段７８號十二樓,1090902,土地1建物1車位1,十二層,十三層,住宅大樓(11層含以上有電梯),集合住宅,1090612,220.56,4,2,2,有,39980000,202184,坡道平面,34.69,2400000
內湖區,房地(土地+建物)+車位,臺北市內湖區南京東路六段７６號十三樓,1090808,土地1建物1車位1,十三層,十三層,住宅大樓(11層含以上有電梯),集合住宅,1090612,179.13,3,2,2,有,33880000,211662,坡道平面,29.93,2300000
內湖區,房地(土地+建物),臺北市內湖區南京東路六段７８號十樓,1091205,土地1建物1車位0,十層,十三層,住宅大樓(11層含以上有電梯),集合住宅,1090612,185.87,4,2,2,有,36480000,196266,,0,0
內湖區,房地(土地+建物)+車位,臺北市內湖區南京東路六段７６號十樓,1100604,土地1建物1車位1,十層,十三層,住宅大樓(11層含以上有電梯),集合住宅,1090612,179.13,4,2,2,有,33460000,208177,坡道平面,29.93,2400000
內湖區,房地(土地+建物)+車位,臺北市內湖區南京東路六段７２號十樓,1090628,土地1建物1車位1,十層,十三層,住宅大樓(11層含以上有電梯),集合住宅,1090612,179.27,3,2,2,有,33130000,207111,坡道平面,29.93,2200000
內湖區,房地(土地+建物)+車位,臺北市內湖區南京東路六段７０號五樓,1100508,土地1建物1車位1,五層,十三層,住宅大樓(11層含以上有電梯),集合住宅,1090612,221.13,4,2,2,有,37760000,187513,坡道平面,34.69,2800000
內湖區,房地(土地+建物)+車位,臺北市內湖區南京東路六段７２號五樓,1090717,土地1建物1車位1,五層,十三層,住宅大樓(11層含以上有電梯),集合住宅,1090612,179.27,3,2,2,有,30800000,191509,坡道平面,29.93,2200000
內湖區,房地(土地+建物),臺北市內湖區南京東路六段７２號六樓,1090813,土地1建物1車位0,六層,十三層,住宅大樓(11層含以上有電梯),集合住宅,1090612,149.34,3,2,2,有,28800000,192849,,0,0
內湖區,房地(土地+建物)+車位,臺北市內湖區南京東路六段７８號六樓,1100331,土地1建物1車位1,六層,十三層,住宅大樓(11層含以上有電梯),集合住宅,1090612,220.57,4,2,2,有,37350000,186959,坡道平面,34.7,2600000
內湖區,房地(土地+建物),臺北市內湖區南京東路六段７０號四樓,1100329,土地1建物1車位0,四層,十三層,住宅大樓(11層含以上有電梯),集合住宅,1090612,186.44,4,2,2,有,34860000,186977,,0,0
內湖區,房地(土地+建物)+車位,臺北市內湖區南京東路六段７８號四樓,1100512,土地1建物1車位1,四層,十三層,住宅大樓(11層含以上有電梯),集合住宅,1090612,220.57,4,2,2,有,35580000,178512,坡道平面,34.7,2400000
中山區,房地(土地+建物),臺北市中山區民權西路６９號八樓,1100603,土地1建物1車位0,八層,十五層,住宅大樓(11層含以上有電梯),集合住宅,1061031,199.4,0,0,0,有,69160000,346841,,0,0
中山區,房地(土地+建物)+車位,臺北市中山區民權西路６９號八樓之１,1100603,土地1建物1車位3,八層,十五層,住宅大樓(11層含以上有電梯),集合住宅,1061031,199.49,0,0,0,有,50840000,346851,坡道平面,82.62,10300000
中山區,房地(土地+建物),臺北市中山區復興北路１９０巷２５號三樓,1100320,土地1建物1車位0,三層,十五層,住宅大樓(11層含以上有電梯),集合住宅,750609,97.98,3,2,1,有,21600000,220453,,0,0
信義區,房地(土地+建物)+車位,臺北市信義區松德路２００巷５３號九樓,1100602,土地1建物1車位3,九層,十六層,住宅大樓(11層含以上有電梯),集合住宅,1061128,711.42,0,0,0,無,341680000,588454,坡道平面,156.27,15000000
文山區,建物,臺北市文山區萬寧街１７９號五樓,1100529,土地0建物1車位1,五層,十六層,住宅大樓(11層含以上有電梯),集合住宅,861030,151.39,3,2,2,有,8550000,56477,坡道平面,0,0
信義區,房地(土地+建物)+車位,臺北市信義區永吉路３６７號七樓,1100311,土地1建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),集合住宅,1060905,232.99,4,2,2,有,63000000,300616,坡道平面,33.4,3000000
文山區,房地(土地+建物)+車位,臺北市文山區辛亥路四段１６６巷２１號七樓,1100517,土地1建物1車位1,七層,十層,華廈(10層含以下有電梯),集合住宅,1071026,130.81,2,2,1,有,23300000,207314,坡道機械,26.62,1700000
文山區,房地(土地+建物)+車位,臺北市文山區秀明路一段１２９巷７２弄１０號,1100511,土地1建物1車位2,二層,五層,華廈(10層含以下有電梯),集合住宅,1070302,486.49,3,2,4,無,68000000,173472,坡道平面,123.32,5000000